,0,0
spotlight,6,3
banal,18,5
common,45,47
decenc,6,3
whizz,1,1
kor,1,5
beergut,1,0
conan,5,3
abund,10,9
strut,4,2
swing,20,19
swung,3,0
idioci,11,0
sheer,22,30
minded,1,1
storytel,12,23
yep,13,5
clinch,1,1
naval,7,4
knowledg,28,39
finer,2,0
hackman,10,0
peg,5,1
submarin,5,4
bebe,0,3
rubi,5,7
keeler,0,3
elois,0,2
ankl,2,9
micheaux,0,8
doli,0,1
armena,0,1
horn,6,9
gabriel,11,10
consuela,0,1
gyspi,0,1
info,9,13
cora,0,5
nosi,1,2
amanda,7,10
randolph,6,2
curvi,0,1
hazel,0,5
diaz,3,6
cha,0,1
harlem,4,8
guardian,6,7
lena,0,13
engl,1,1
drunk,38,19
tall,10,13
lanki,0,4
handsom,17,41
carman,0,1
newsom,1,1
seymour,4,8
jaw,28,10
tap,16,29
bold,12,15
hallelujah,0,1
stormi,0,5
glimps,17,16
classi,8,8
spencer,4,7
nina,1,7
mae,5,4
mckinney,1,5
josephin,1,1
fredi,1,1
robeson,2,3
rex,19,10
ingram,0,1
nightclub,5,13
paradis,4,8
sinner,2,2
string,20,15
sepia,3,3
cinderella,8,45
glean,2,1
lodg,4,3
introduct,17,30
cremat,3,2
colour,17,28
austen,4,7
fluffi,1,5
darker,2,16
intricaci,0,4
churchil,0,5
fairfax,0,2
entangl,0,5
gloss,1,6
multidimension,0,1
beckinsal,1,9
quirk,2,6
harriet,2,3
remors,2,5
propos,9,11
marit,5,3
narciss,0,4
matchmak,0,1
awaken,14,14
gyneth,0,1
childlik,0,6
stagnant,4,2
roman,7,21
philanthrop,1,1
gestur,5,14
troop,8,10
korean,13,26
warner,18,28
bro,10,6
salut,3,2
patriot,6,8
starlet,3,2
skinni,9,4
corpor,13,25
hagerthi,1,0
newspap,12,22
bicycl,2,4
airplan,13,8
carrier,10,5
honolulu,1,0
childish,10,6
glamor,11,20
cagney,2,9
poke,17,7
macra,1,0
bariton,1,2
wyman,1,0
bedsid,3,3
repris,4,9
undemand,2,2
adequ,16,11
starlift,1,0
strictli,19,8
biller,1,0
inconsisti,1,0
shuttl,5,3
launch,24,9
gold,24,25
dimension,32,16
incomprehens,17,3
multipl,12,28
recomend,2,2
shockingli,8,4
outdo,1,2
lumber,9,1
nix,1,0
grasp,10,10
reiter,3,1
voodoo,6,1
priestess,3,0
romanian,9,3
dean,19,12
cher,4,14
stewart,17,114
lend,7,23
lesli,7,29
bondag,6,13
cockney,1,9
unw,0,2
boyfriend,39,36
mildr,1,9
afi,0,9
consol,3,4
joyc,4,4
heath,4,7
wwii,9,25
hindsight,1,2
yo,0,7
carpet,3,6
rko,1,4
onward,3,1
doubtless,2,2
exemplari,0,4
depth,52,66
sidewalk,1,16
incent,2,1
stardom,6,5
peer,9,8
measur,13,13
anna,22,36
nicol,2,14
struck,15,10
verg,7,10
goal,17,25
led,35,41
dom,3,5
disori,1,0
dust,19,4
shelf,19,2
standout,3,15
asst,0,1
asylum,18,3
sociolog,6,2
yesterday,11,15
unclear,8,2
slice,15,10
forehead,6,2
cheerlead,6,2
rear,10,6
photo,16,27
gown,8,5
dorm,4,2
process,26,45
unto,1,3
marijuana,0,7
cocain,4,4
behest,0,1
intervent,1,3
suburbia,2,4
hint,24,27
endors,3,5
outright,8,2
archiv,6,6
honesti,8,11
staunch,4,2
overview,1,4
interviewe,2,2
oxycontin,0,1
marketplac,2,2
summertim,0,2
peak,13,22
careless,4,2
disillusion,3,2
prod,5,2
propag,0,2
bias,9,8
untru,6,2
interweav,0,4
repackag,1,0
ariauna,2,0
magician,3,9
salvag,7,4
lilith,6,0
whine,19,14
nervou,8,11
disinterest,6,1
larissa,0,2
curli,4,7
alisan,0,4
porter,3,11
wounder,1,1
potter,3,7
revil,0,1
goofiest,1,0
disagre,11,15
devilish,3,3
wreck,30,11
havoc,7,6
ami,17,9
yasbeck,1,0
adopt,12,20
unrurli,1,0
asinin,5,0
cradl,11,1
filth,15,3
bandwagon,4,0
camcord,12,2
bmovi,1,0
surround,28,35
mugger,2,1
skull,31,3
helper,3,4
stinger,3,0
baaaaad,2,0
unmotiv,2,0
stuf,8,2
size,20,14
function,15,21
hardi,15,21
seitz,0,1
emmili,0,1
marion,8,16
beau,3,2
ager,0,1
andi,28,52
polli,4,4
reluct,6,11
lionel,3,7
barrymor,9,10
convict,10,29
glue,1,4
byington,0,2
mickey,7,3
cecilia,0,1
parker,15,26
haydon,0,1
sara,3,13
hayden,4,1
margaret,2,15
marqui,1,8
milli,0,2
guard,23,30
cafe,4,2
arizona,1,3
grieco,3,2
nanci,6,32
allen,25,59
hewitt,0,2
scoop,3,31
tub,0,6
omen,22,0
didnt,4,1
wasnt,3,0
couldnt,1,3
risibl,3,0
baptism,1,1
supris,2,4
timeless,2,16
sought,6,7
freedom,8,29
apartheid,2,6
biko,0,7
journal,7,11
donald,13,21
higher,20,27
rodney,11,4
dangerfield,3,0
athlet,4,6
skier,1,0
stiller,5,12
nod,13,20
pc,5,4
apolog,16,8
in,3,4
digress,8,3
mildest,1,1
raci,2,3
peculiar,5,7
disclaim,5,1
polygam,1,0
religion,39,10
utah,4,1
brigham,1,6
inert,3,0
turgid,7,1
duke,12,14
ali,15,2
rohmer,7,2
conscious,9,4
elitist,3,4
akira,0,4
kurosawa,2,21
dode,0,3
den,3,3
partnership,1,8
knight,12,12
kobayaski,0,1
ichikawa,0,1
konishita,0,1
arguabl,6,11
chees,31,11
humanist,1,5
decim,2,2
slum,7,6
woe,0,4
advers,3,6
backdrop,22,23
fault,41,35
cohes,7,4
rokkuchan,0,2
clicketi,0,1
clack,0,1
pray,11,6
branch,3,7
scroung,0,1
descript,21,23
servitud,0,1
meek,2,4
constant,35,27
marker,2,3
clockwork,9,4
spous,3,5
swap,1,1
salesman,10,6
bike,8,7
gossip,1,4
squat,3,2
erot,17,21
margin,11,12
deconstruct,2,5
bergman,17,9
dissect,2,3
deathli,0,1
sorrow,1,5
silenc,6,20
painter,2,17
tic,2,1
improvis,10,6
composit,6,18
painterli,0,1
weeper,0,1
amid,4,3
eastmancolor,0,1
sprawl,1,5
spill,6,9
seam,3,2
throttl,2,2
vibrant,6,16
inton,0,2
toru,0,3
takemitsu,0,1
indel,1,1
ikiru,0,1
beard,11,4
roseann,3,0
backstori,3,0
zane,7,6
yaphet,1,2
kotto,1,2
abnorm,2,3
kink,2,0
jock,9,2
roberto,5,1
spectrum,5,5
exagger,14,20
prescreen,1,0
pedophilia,2,1
undercov,4,3
washboard,1,0
jesu,44,17
alright,31,10
gospel,9,0
kiddish,2,0
gosh,3,4
toooo,1,0
slate,3,3
wooden,71,13
rupert,3,3
penri,2,0
expressionless,3,1
jennif,11,14
higham,1,0
effac,2,0
wentworth,3,0
concert,20,19
vet,9,6
backwood,6,1
palillo,2,0
josi,1,2
sheep,4,2
cam,2,1
devoid,16,4
bourn,7,40
deeper,12,25
batter,4,2
mm,10,7
astonishingli,2,3
dizzi,4,2
tangier,2,0
navig,2,5
shook,3,1
greengrass,2,8
gullibl,3,5
discipl,4,0
editor,18,7
nauseou,3,0
strobe,2,0
tar,2,1
feather,2,2
monstros,8,0
cia,12,8
misunderstood,3,7
traitor,5,6
nincompoop,1,0
floor,35,35
snag,3,3
threat,9,20
eh,6,3
undergo,3,4
refrain,4,2
deputi,4,11
ceas,5,6
senat,7,2
noughti,2,0
ultimatum,1,5
deliri,5,10
pryor,3,4
murphi,17,36
lovingli,1,6
provoc,4,11
stargat,6,12
spin,16,17
expand,8,8
neill,1,10
companion,11,15
samantha,6,4
teal,0,3
gouald,0,5
parasit,0,9
deed,7,9
deem,9,7
jaffa,0,1
exploratori,0,1
wormhol,1,3
transport,7,15
devic,19,20
knit,4,3
braveheart,2,11
darth,1,12
vader,1,13
astonish,5,18
anguish,4,10
luke,11,27
tortur,49,24
sidiou,0,1
sith,0,1
elimin,13,10
vessel,1,2
mon,18,4
calomari,0,1
ewok,3,8
sullesteian,0,1
lando,0,3
obi,1,6
wan,2,9
yoda,0,8
anakin,1,2
skywalk,0,5
sebastian,5,3
leia,0,4
slay,5,3
jabba,2,3
strangl,7,4
hutt,0,1
endor,0,4
duel,6,11
bikini,7,4
woodi,20,35
paus,11,7
denero,1,0
edgi,16,10
sixti,18,11
cd,20,19
bin,14,8
dear,21,10
raimi,3,3
raptor,1,2
goten,0,1
rudolph,1,3
breakfast,10,6
slide,9,12
fanfar,0,1
deris,3,2
kurt,8,26
vonnegut,0,19
unfilm,1,3
underappreci,0,3
stilt,17,8
mourn,1,4
neglect,9,13
polanski,0,19
repuls,14,11
honest,47,47
goer,7,14
acknowledg,7,12
le,20,26
locatair,0,4
dyptic,0,1
satisfactori,3,6
deneuv,3,1
uneasi,5,6
irrevers,3,2
malais,2,2
tangibl,0,4
oppos,16,14
rosemari,6,11
struggl,59,84
lure,8,5
blonder,5,0
dumber,7,0
nois,28,11
pamela,13,5
denis,9,2
chock,7,4
snapper,0,1
rightli,2,6
faux,8,1
pa,4,3
civic,3,0
exam,2,2
fibber,1,0
mcgee,2,0
molli,13,9
inact,1,1
spat,1,1
eugen,7,25
acquaint,2,12
gaggl,2,0
refuge,3,5
henri,33,37
wallac,5,8
communist,18,11
flagwav,1,0
hooey,1,1
philip,9,18
wyli,1,0
viper,1,1
boogaloo,1,1
drastic,8,6
unfun,1,0
armageddon,2,6
ppvthe,0,1
smackdown,0,8
inferno,0,3
kane,15,17
mvp,0,6
ram,13,6
teddi,10,7
kendrick,0,3
defend,16,24
regal,0,13
taylor,38,44
hardyz,0,1
mnm,0,4
ladder,6,19
carnag,5,10
chao,6,10
fest,23,6
shortli,6,13
afterword,0,2
rope,5,15
nearbi,11,17
joey,8,27
bust,7,14
nitro,1,2
suplex,0,7
dropkick,1,2
buyrat,0,1
increas,16,14
replay,5,6
lacer,2,1
miz,1,4
boogeyman,4,5
dud,16,3
benoit,0,20
chavo,0,5
superplex,0,3
helm,6,10
yang,0,7
cruiserweight,0,6
jbl,0,5
kennedi,4,23
slug,24,5
tomb,7,2
diva,4,4
torri,0,1
layla,0,1
ashley,10,8
cena,5,16
batista,0,10
finlay,0,7
booker,0,20
knee,6,7
chair,23,19
savior,3,3
osama,2,0
catwoman,2,1
septemb,8,15
afghanistan,10,1
unprepar,2,0
vendetta,2,1
laden,7,6
document,12,17
conveni,19,7
macgyv,2,1
mishap,3,4
doom,16,24
deliver,2,16
whenc,1,2
cano,0,4
toothless,1,2
hillbilli,3,10
anal,6,3
bow,9,9
arrow,10,7
bone,18,17
immatur,11,6
pile,40,8
overstay,2,1
sucker,9,5
rectifi,1,1
attenborough,9,3
sensat,5,20
broadway,20,16
ghandi,1,0
balboa,1,0
handed,1,0
unforgett,5,16
flatmat,1,0
graini,8,7
mtv,14,5
textur,8,6
sweep,2,7
snatch,8,6
amphetamin,1,0
keira,6,2
luci,20,10
domino,17,4
affluent,2,1
bounti,13,2
robber,13,4
certif,3,1
dispel,3,0
obes,4,2
afro,3,3
mvd,1,0
lateesha,1,0
springer,11,3
granddaught,3,6
urgh,2,0
fee,1,4
distort,12,11
sporad,4,3
afghani,1,0
bent,6,6
chocco,1,0
mescalin,1,0
fbi,18,23
surveil,2,2
pam,12,6
grier,9,1
coffi,10,0
nurs,23,16
blaxploit,6,2
racist,19,10
dessert,3,2
demean,8,2
degrad,13,6
thread,17,14
craze,14,3
ghetto,9,3
pimp,6,5
mobster,8,8
scum,2,3
outshin,3,3
unwatch,28,2
foxi,1,1
sleaz,10,2
stoop,5,3
bearabl,4,4
inaccur,11,4
algerian,2,0
berber,1,0
tunisian,2,0
completetli,1,0
tunisia,1,0
algeria,1,0
eloqu,3,1
academ,5,0
personag,1,1
bedouin,1,0
region,11,16
repudie,1,0
invent,29,35
en,7,9
freeway,4,1
hitch,6,6
hiker,1,2
destin,8,14
adulter,2,1
camper,5,3
outlaw,4,13
umbrag,1,0
peed,1,0
clanci,2,0
woefulli,8,0
haggerti,1,0
ebenez,1,1
strangest,3,0
dreari,12,5
beggar,4,1
belief,25,28
gimmicki,3,0
tad,7,10
castro,6,10
cheapo,5,0
enthusiast,15,9
pluck,4,1
squish,1,0
messi,9,4
sneak,14,7
sieg,5,1
sa,11,1
balconi,3,2
argentina,1,11
falkland,1,1
gung,5,9
hostag,10,3
collin,9,5
woodward,1,2
cubbi,1,0
brocoli,1,0
ditch,3,4
tout,4,1
atlanta,2,6
dragoncon,0,1
aficionado,0,5
morn,23,25
witchblad,0,3
etebari,0,1
stale,12,3
cellular,1,1
kasadya,0,1
exceedingli,3,7
onlin,6,12
godzilla,18,2
creepiest,2,4
clap,6,5
aztec,19,1
theolog,5,0
jolli,4,4
sociopath,6,4
whichev,6,0
harder,11,17
gifford,1,2
shop,36,33
homeland,4,3
african,22,37
mammi,1,3
peep,6,2
elv,2,1
reindeer,2,0
mechan,16,21
toy,27,20
float,13,18
hover,5,1
cloud,9,10
nemesi,9,7
minion,8,2
minc,2,0
pranc,5,1
purest,1,6
redund,8,3
saintli,3,1
lupe,2,0
doll,21,16
temptat,3,6
thee,1,1
chucki,2,1
uh,12,2
huh,21,11
merlin,6,0
druidic,1,0
disapprov,4,2
stake,8,10
eggnog,1,0
drank,2,2
spike,9,38
dt,1,0
california,19,17
correctli,9,14
inmat,4,10
tempest,0,3
felon,0,1
loopi,0,2
oz,4,12
robin,33,26
per,21,20
se,4,10
sandra,10,11
rori,1,3
inspect,0,5
saturday,21,14
majest,2,6
corn,11,9
singin,1,5
caron,2,8
cyd,0,1
chariss,0,1
levant,2,7
ballet,12,9
minnelli,0,4
reynold,16,13
chuck,12,6
soil,3,0
explos,25,35
superpow,6,2
hay,7,15
desecr,2,0
looney,8,3
toon,2,0
titan,12,16
batman,63,35
trait,9,11
mario,12,7
greedi,13,7
calcul,3,6
piraci,1,0
dug,5,1
err,2,4
snoopi,1,1
peanut,5,3
laser,8,5
charley,4,1
warlord,3,0
zapar,1,0
alla,0,2
korot,0,1
dorf,0,1
hesseman,0,2
relief,26,30
kinda,33,31
spinal,3,18
nighi,0,4
kilter,0,1
recaptur,3,5
rea,0,4
indescrib,3,3
myra,6,0
breckinridg,3,1
vidal,1,1
stud,6,4
boo,10,4
sarn,2,0
flack,1,1
incoher,38,3
hazzard,1,0
fox,25,44
vault,6,7
interv,1,3
judi,17,18
shirley,9,9
templ,7,13
lace,4,9
newli,9,12
lewd,1,1
uproar,2,1
loretta,4,15
su,4,6
permiss,4,1
scrawni,4,1
goddess,3,1
raquel,3,0
welch,5,0
seduc,8,17
nubil,2,0
farrah,11,6
fawcett,6,3
herren,2,0
strap,7,1
dildo,1,0
nineteen,2,2
formid,3,5
upscal,2,0
hunki,5,2
selleck,3,2
morbidli,3,1
meaning,19,19
handedli,3,2
endearingli,1,3
more,0,3
habitu,1,3
violat,3,6
brainer,0,3
nooo,0,1
bmacv,0,1
chemotherapi,0,1
leather,7,8
disconcert,2,3
morita,6,4
miyagi,0,1
fluff,7,10
distrust,1,3
output,1,6
lawrenc,12,13
zani,3,3
streetwis,0,4
upsid,7,5
snow,13,15
locarno,1,0
fairi,12,37
coke,9,4
swiss,5,2
alp,1,2
dope,5,1
pale,12,11
zurich,1,0
switzerland,6,3
taglin,3,0
forese,2,1
spectat,4,4
steelwork,1,0
housewif,5,6
musician,20,20
fitter,1,0
fraction,3,1
migrant,1,3
spain,8,14
banker,2,2
heartless,5,10
owner,20,47
playboy,10,6
photograph,37,35
expos,15,22
pornograph,7,7
samir,1,0
baghdad,1,2
akin,9,3
pseudo,15,9
swallow,15,7
homophobia,3,1
conceiv,14,12
woeful,6,0
homo,3,2
camp,52,63
flake,1,0
czech,7,10
jedna,0,1
ruka,0,1
netlaska,0,1
highest,6,20
republ,8,3
hrabal,0,1
hasek,0,1
kundera,1,1
menzel,0,1
sverak,0,1
uncompromis,2,2
be,5,17
optim,0,6
trojan,2,2
machacek,0,1
lajo,0,1
koltai,0,3
deathb,1,4
redgrav,2,6
simplic,5,14
minot,0,1
skirt,9,6
engend,1,2
polley,0,1
slick,8,14
natasha,3,3
richardson,4,13
meryl,4,8
streep,3,16
mami,1,2
gummer,0,4
youth,25,41
clair,11,22
dane,4,14
eileen,1,3
atkin,4,1
hugh,14,23
danci,0,2
patrick,23,23
hungarian,3,4
mephisto,0,1
fateless,0,1
continent,0,2
newport,0,1
environ,12,25
fraught,0,3
complianc,2,2
selfless,0,4
rarifi,0,1
triangl,6,12
captivatingli,0,1
woven,1,1
symphoni,0,3
forego,2,1
discoveri,9,22
vagu,37,16
admiss,2,7
thereaft,2,4
popcorn,9,7
justifi,15,16
aesthet,6,8
summar,9,7
unrel,8,7
nutshel,8,3
contest,18,18
prodigi,3,3
befallen,1,0
jobless,2,1
bartend,2,5
brace,3,0
oral,6,2
guru,2,1
pang,2,5
frog,6,5
rambl,21,4
rhyme,16,3
classifi,3,5
sentenc,18,18
swayz,6,4
solomon,0,5
indiana,6,12
chamberlain,0,19
andrea,9,1
bianchi,2,1
wield,5,3
unfortuanitli,1,0
leak,4,1
unansw,3,6
chungk,2,0
crouch,4,6
groov,2,2
overact,27,3
consum,14,10
liquor,5,4
springtim,2,1
hitler,42,51
jani,3,0
joplin,3,0
faint,8,11
spark,13,11
valley,11,7
brow,13,6
pacino,14,19
shotgun,18,2
smatter,2,0
tabl,16,37
unteth,1,0
hammi,10,6
halt,7,3
linger,16,11
kiddo,1,0
scholar,1,2
deerfield,1,1
lastli,3,6
ethnic,15,15
slash,17,5
clarenc,2,6
necessari,19,43
furi,18,5
signifi,1,2
nada,4,0
invest,17,15
lucki,19,22
slevin,1,0
drift,9,10
gangster,23,42
brigant,3,0
racism,11,20
nicki,3,6
diddi,1,0
leticia,1,0
carito,1,0
taft,0,7
determin,15,45
bakersfield,0,5
kyle,5,19
yard,8,12
hollyoak,1,0
royal,8,12
suffici,6,10
slap,35,14
tedium,8,0
cole,2,30
shaun,4,2
cassidi,4,12
retali,3,4
contract,14,23
accordingli,6,2
comet,14,2
seedi,3,8
vaudevil,3,11
mujar,0,1
marta,0,2
belengur,0,1
unawar,5,13
timecrim,0,1
somber,0,7
monkey,28,16
voyag,8,4
denzel,9,11
mutin,1,0
almighti,2,3
carrey,5,12
freeman,13,17
niveau,1,0
elit,7,10
ross,9,11
kitschi,3,0
offend,27,13
handicap,7,11
bullshit,4,0
chose,21,12
bull,8,8
authen,0,1
oil,17,13
honki,1,3
tonk,1,3
graffiti,5,3
tara,8,4
flagship,1,0
option,14,16
dial,4,1
modem,1,0
mplayer,2,0
winamp,1,0
xp,1,0
totem,2,0
xine,1,0
kaffein,1,0
suse,1,0
server,1,2
flawlessli,1,4
spread,12,15
flawless,3,28
spoke,7,8
lip,18,28
sync,4,0
proog,5,0
cunningli,2,0
devis,3,3
der,3,20
untergang,1,3
downfal,7,5
rosenstrass,0,3
usa,11,14
hannah,4,4
orthodox,1,1
jew,14,10
dig,21,28
nazi,19,39
aryian,0,1
berlin,7,7
gunfight,8,3
yester,0,1
chalo,0,4
di,12,3
daar,0,1
chand,0,1
ke,2,2
paar,0,1
lata,0,1
mangeshkar,0,1
mohd,0,1
rafi,0,1
kaif,0,1
bhopali,0,1
chalt,0,2
pakeezah,0,4
picturis,1,1
ashok,0,2
grandson,2,6
filmographi,6,7
custom,11,12
nikhil,2,0
advani,2,0
trek,16,22
frontier,3,8
volunt,6,8
leagu,11,27
volum,6,12
complement,2,17
derek,18,13
bon,3,1
jovi,3,1
weapon,29,25
helsig,1,0
net,6,2
enabl,6,16
invulner,6,1
sunlight,3,0
sancho,1,0
diego,1,14
luna,1,2
rodrigo,1,0
cristian,1,0
fuent,1,0
cathol,23,9
zoey,1,0
dariu,1,26
mccrari,1,0
simplest,5,1
hal,10,11
hartley,7,13
wari,1,3
kudo,4,11
reassembl,1,1
reconcil,3,7
ensu,9,22
ticket,8,18
grim,19,29
cain,33,44
bacon,6,7
visibl,11,9
serum,11,6
backer,2,1
laboratori,9,2
chocol,8,4
fizzi,0,1
marlow,0,3
petti,10,13
subtleti,12,21
rat,28,12
eaten,14,8
faultless,0,2
boffin,0,2
hose,3,3
hollwood,0,1
extravaganza,2,3
nastier,0,1
streak,3,4
panic,4,23
elia,1,6
kazan,0,11
orlean,6,20
deadlin,0,2
urgenc,8,5
disput,2,4
kochak,0,5
dock,2,6
coron,3,2
widmark,2,38
examin,16,28
confirm,10,15
pneumon,0,3
contact,14,33
inocul,0,2
infecti,0,7
commission,3,2
obstacl,6,12
urgent,1,5
hamper,0,4
immigr,6,20
seamen,0,1
proprietor,1,2
blacki,0,6
palanc,1,12
fitch,0,2
mostel,0,4
vinc,9,5
poldi,0,5
tommi,15,10
ongo,3,4
smuggl,0,6
underpaid,0,1
cope,6,16
oner,0,1
preoccup,0,3
convincingli,4,16
misjudg,1,2
docu,0,2
tandem,1,2
warehous,8,4
docksid,0,2
mcdougal,0,1
resum,6,7
housew,1,4
credenti,6,2
wolitz,0,1
alexa,0,1
davalo,0,1
unmarri,0,1
maddi,0,1
lauren,3,8
hopkin,6,7
infant,0,5
hampton,1,6
creameri,0,1
auto,10,6
swedlow,0,1
dian,8,6
keaton,17,29
mutual,2,18
overbear,7,6
grief,5,14
friction,2,1
thrive,1,5
thirst,1,1
filler,12,5
privaci,1,2
disclosur,1,1
gradi,1,6
harp,1,7
clerk,8,14
mel,12,9
knockout,0,3
stole,7,20
crapfest,2,0
somnambul,1,0
trite,21,12
groovi,2,2
ghouli,7,0
abod,2,0
arthrit,1,1
lurch,6,2
attribut,9,6
bellow,2,1
ireland,17,3
superstiti,1,1
hokum,5,1
rigor,1,4
morti,1,0
ach,6,6
deign,3,0
substant,5,2
rever,4,7
wuxia,2,0
tome,2,0
kar,1,1
wai,1,6
wkw,1,0
drip,6,11
bead,1,0
access,15,18
nothing,1,1
medit,8,9
garbl,2,0
enunci,2,3
headlight,8,2
auteur,3,4
euphem,3,3
nafta,0,1
draft,8,3
manufactur,3,6
lazi,21,8
drew,9,43
receipt,1,1
collid,4,4
workplac,0,3
stevenson,0,10
automak,0,4
rep,0,2
hadleyvil,0,2
foothil,0,2
pennsylvania,1,1
assan,0,5
motor,5,4
toyota,0,1
liaison,3,4
workforc,0,2
trade,16,23
devot,18,24
satisfact,7,8
chat,5,6
misunderstand,0,5
delic,2,14
buster,4,18
wendt,9,3
turturro,0,5
clint,7,7
gedd,0,3
watanab,0,3
kazihiro,0,1
saito,0,1
sab,0,1
shimono,0,2
nephew,6,10
ceo,1,2
peck,13,13
domin,14,31
dunk,2,3
beetl,1,1
juic,3,2
ribbon,1,1
soh,0,1
yamamura,0,1
sakamoto,0,1
mimi,1,2
edwin,0,1
blum,0,1
lowel,2,2
ganz,1,2
babaloo,0,2
mandel,1,2
bmi,0,1
compos,18,29
newman,5,11
tuff,1,1
enuff,0,1
paramount,4,8
dolbi,2,2
digit,12,11
grain,7,5
shelley,9,15
duval,12,10
faeri,0,2
stepsist,2,7
eve,8,14
arden,1,2
personif,0,4
wick,8,13
stepmotherhood,0,1
beal,1,8
garden,15,28
matthew,13,16
broderick,1,2
jean,25,52
stapleton,2,4
godmoth,0,11
orchestra,6,4
quintessenti,2,13
misplac,7,2
wri,0,5
bump,13,14
seizur,6,1
gray,30,12
helpless,11,12
hopeless,14,7
irration,0,1
startl,5,10
spurt,3,0
skeletor,1,0
henchman,6,0
lair,3,3
domain,4,3
blackstar,1,1
howlingli,1,0
hentai,1,0
tentacl,4,3
ra,1,1
princess,7,17
skimpier,1,0
hike,5,1
flush,7,1
patterson,1,0
excruciatingli,9,3
drudgeri,0,1
uhhh,0,1
static,8,10
togar,0,6
decrepit,2,6
attend,19,39
monitor,7,4
solut,11,16
dey,2,2
pj,2,2
marla,0,1
rosenfield,0,1
submit,4,8
bucket,4,4
skelton,0,2
lahr,0,2
brien,7,7
dynamit,5,8
dorsey,0,2
pizzazz,0,1
walmart,4,0
mildli,20,5
preachi,12,6
cramp,5,4
underground,18,25
lab,26,8
schemat,1,0
clearer,2,2
madmen,2,0
undermin,9,4
darn,7,5
discard,3,7
despis,5,5
bicenntini,1,0
slime,2,1
hindi,2,11
revert,2,4
teesri,1,1
kasam,0,1
huzoor,0,1
madhumati,0,1
sympath,12,7
pekinpah,3,0
icon,9,21
inter,4,6
dieget,1,0
ambient,1,4
schoolyard,1,0
perp,1,0
caan,2,4
std,1,1
snoop,4,10
intim,3,18
depalma,4,4
dickenson,1,0
alfredo,2,2
garcia,3,4
supplementari,1,0
lectur,9,2
snl,17,8
offal,0,1
roxburi,2,1
skit,17,9
meadow,4,7
leon,12,12
phelp,1,4
tiffani,4,5
amber,5,8
thiessen,0,3
dee,8,8
colt,3,1
mindless,21,9
quoter,0,1
quotabl,0,6
ooh,0,1
interestig,1,0
censorship,4,9
unbalanc,3,1
licit,1,0
naked,2,0
gutter,3,1
rotten,14,6
succumb,5,7
ww,4,12
digest,7,7
olivi,18,23
multitud,3,6
eagerli,2,2
await,9,10
awsom,0,1
transgen,0,1
by,0,1
preorder,0,1
extenu,1,0
cornelia,1,0
sean,29,22
conneri,5,13
hobbi,2,1
outcast,1,8
solac,1,7
antiqu,4,4
giver,1,0
foe,6,8
nuff,2,2
rival,15,28
breakin,0,3
tip,7,9
cusack,19,6
snappi,3,4
walker,10,8
sooo,4,2
donato,0,1
nathan,3,14
thick,12,23
duo,14,15
conquer,3,10
frankenheim,0,4
elmor,0,1
leonard,7,8
taut,1,7
consult,2,3
scheider,0,5
trebor,0,3
stood,6,20
blackmail,11,4
porno,28,5
vaniti,5,9
preston,4,7
shtick,2,0
cutesi,2,4
stream,5,8
out,14,6
alec,5,9
balwin,1,0
santini,2,0
innapropri,1,0
cheesecak,2,0
hilton,4,4
seuss,5,1
spasitc,1,0
plainsman,0,1
directori,17,17
prowess,0,3
factual,8,8
stellar,10,8
entourag,3,1
hickok,1,1
buffalo,6,19
codi,20,3
ellison,1,1
calam,1,4
custer,0,3
abraham,5,13
unabash,0,3
spectacl,3,4
showmanship,0,1
buttress,0,1
heap,13,6
zeitgeist,1,2
relic,0,6
moder,10,4
artifact,5,2
minimum,13,7
anomali,2,4
mono,1,2
jodorowski,4,1
muck,2,4
peripher,1,4
bewild,5,2
entrail,5,2
crispin,1,7
daze,2,8
arthropod,0,1
superhero,19,14
godlik,0,1
burli,1,2
scantili,3,1
clad,9,4
girli,1,4
dadaist,0,1
wet,7,16
neg,42,43
deduc,0,2
valid,6,10
sleepless,1,3
seattl,2,6
proof,14,8
beavi,1,0
butthead,1,0
mummi,14,3
mont,3,1
cristo,1,0
phenomenon,3,10
nineti,9,9
marle,4,1
matlin,6,2
piano,16,16
fewer,2,4
scent,2,3
forrest,4,6
gump,2,3
arous,6,6
jodi,7,6
nell,7,2
hawthorn,0,2
autobiographi,4,4
irish,18,20
christi,5,38
dublin,1,7
cerebr,3,10
palsi,0,5
wrongli,2,6
chalk,2,6
toe,11,8
publish,8,10
poet,4,5
grey,13,24
cheerless,0,1
emerald,1,1
isl,2,4
collabor,10,14
institutionalis,1,1
crippl,11,14
exterior,8,6
bricklay,0,1
slid,0,1
jerki,6,4
conor,0,2
brenda,5,6
fricker,0,6
sentimentalis,0,1
wart,1,5
portrait,6,26
drinker,1,1
prone,5,3
outburst,2,5
facet,4,7
misguid,15,2
stayin,1,0
greas,19,2
pfeiffer,7,11
tuneless,2,1
maxwel,3,0
caulfield,2,0
gamut,3,3
cataton,3,0
hormon,4,1
sassi,4,12
deadpan,3,5
luau,1,0
conni,3,5
sid,6,16
caesar,4,0
lorna,1,0
luft,1,3
clunker,3,0
frenet,3,7
exhaust,10,11
dissip,2,1
nostalgia,8,11
evok,11,9
choreograph,12,18
birch,1,0
inflict,7,4
avid,6,2
bonu,8,10
unsur,8,3
joker,7,1
